model,parameters,train_start,train_end,test_start,test_end,test_baseline,accuracy_at_1,precision_at_1,recall_at_1,f1_score_at_1,auc_roc_at_1,accuracy_at_2,precision_at_2,recall_at_2,f1_score_at_2,auc_roc_at_2,accuracy_at_5,precision_at_5,recall_at_5,f1_score_at_5,auc_roc_at_5,accuracy_at_10,precision_at_10,recall_at_10,f1_score_at_10,auc_roc_at_10,accuracy_at_20,precision_at_20,recall_at_20,f1_score_at_20,auc_roc_at_20,accuracy_at_30,precision_at_30,recall_at_1,f1_score_at_30,auc_roc_at_30,accuracy_at_50,precision_at_50,recall_at_50,f1_score_at_50,auc_roc_at_50
decision_tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093
decision_tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 5}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093
decision_tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 10}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093,0.2944478155339806,0.5611831041646058,0.2316266536011759,0.32790959798849745,0.35388607125028093
decision_tree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.29350728155339806,0.5598451766574037,0.23032010452392618,0.32637121036797034,0.35329184253121204,0.29350728155339806,0.5598451766574037,0.23032010452392618,0.32637121036797034,0.35329184253121204,0.29350728155339806,0.5598451766574037,0.23032010452392618,0.32637121036797034,0.35329184253121204,0.29350728155339806,0.5598451766574037,0.23032010452392618,0.32637121036797034,0.35329184253121204,0.2935376213592233,0.5599007444168734,0.23032010452392618,0.3263806520670003,0.35335088835076806,0.2924150485436893,0.5582785415421399,0.2288094071533562,0.32458731537793223,0.352595539665483,0.2753640776699029,0.5320878192949124,0.20582230932549403,0.2968262380027086,0.3411610365711079
decision_tree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.2935679611650485,0.5599325262948998,0.2304017638412543,0.32646803586925077,0.3533326721898761,0.2935679611650485,0.5599325262948998,0.2304017638412543,0.32646803586925077,0.3533326721898761,0.2935679611650485,0.5599325262948998,0.2304017638412543,0.32646803586925077,0.3533326721898761,0.2935679611650485,0.5599325262948998,0.2304017638412543,0.32646803586925077,0.3533326721898761,0.2935983009708738,0.5599880916939566,0.2304017638412543,0.3264774798229628,0.3533917180094321,0.2924757281553398,0.5583665338645418,0.2288910664706843,0.3246843507471331,0.35263636932414705,0.2754247572815534,0.5321865766146053,0.20590396864282215,0.29692651907677814,0.34120186622977194
decision_tree,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 10}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.2935983009708738,0.5599880916939566,0.2304017638412543,0.3264774798229628,0.3533917180094321,0.2935983009708738,0.5599880916939566,0.2304017638412543,0.3264774798229628,0.3533917180094321,0.2935983009708738,0.5599880916939566,0.2304017638412543,0.3264774798229628,0.3533917180094321,0.2935983009708738,0.5599880916939566,0.2304017638412543,0.3264774798229628,0.3533917180094321,0.2935983009708738,0.5599880916939566,0.2304017638412543,0.3264774798229628,0.3533917180094321,0.2932645631067961,0.5595190779014309,0.22991180793728563,0.32590577613149674,0.35320578587700374,0.27606189320388347,0.5332280147446025,0.2067205618161032,0.29793744667078587,0.34166920863596845
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.23391990291262135,0.45329060882425437,0.150171484566389,0.2256026498190517,0.3131584867328875,0.23391990291262135,0.45329060882425437,0.150171484566389,0.2256026498190517,0.3131584867328875
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.23391990291262135,0.45329060882425437,0.150171484566389,0.2256026498190517,0.3131584867328875,0.23391990291262135,0.45329060882425437,0.150171484566389,0.2256026498190517,0.3131584867328875
decision_tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.7435983009708738,0.7434659867043074,1.0,0.8528597545050927,0.5010037789324515,0.23391990291262135,0.45329060882425437,0.150171484566389,0.2256026498190517,0.3131584867328875,0.23391990291262135,0.45329060882425437,0.150171484566389,0.2256026498190517,0.3131584867328875
decision_tree,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",2012-01-01 00:00:00,2012-06-30 00:00:00,2012-07-01 00:00:00,2013-01-01 00:00:00,0.7430825242718446,0.29399271844660196,0.5605550049554013,0.230932549403887,0.32710658724191777,0.3536571107907484,0.29399271844660196,0.5605550049554013,0.230932549403887,0.32710658724191777,0.3536571107907484,0.29399271844660196,0.5605550049554013,0.230932549403887,0.32710658724191777,0.3536571107907484,0.29399271844660196,0.5605550049554013,0.230932549403887,0.32710658724191777,0.3536571107907484,0.29399271844660196,0.5605550049554013,0.230932549403887,0.32710658724191777,0.3536571107907484,0.2940230582524272,0.5606105659629299,0.230932549403887,0.3271160463838524,0.35371615661030437,0.2940230582524272,0.5606105659629299,0.230932549403887,0.3271160463838524,0.35371615661030437
